Segment Number,Time,Position,Velocity,Acceleration
1.000,.000,.000,.000,1800.000
2.000,.011,.111,20.000,.000
2.000,.031,.511,20.000,.000
2.000,.051,.911,20.000,.000
2.000,.071,1.311,20.000,.000
2.000,.091,1.711,20.000,.000
2.000,.111,2.111,20.000,.000
2.000,.131,2.511,20.000,.000
2.000,.151,2.911,20.000,.000
2.000,.171,3.311,20.000,.000
2.000,.191,3.711,20.000,.000
2.000,.211,4.111,20.000,.000
2.000,.231,4.511,20.000,.000
2.000,.251,4.911,20.000,.000
2.000,.271,5.311,20.000,.000
2.000,.291,5.711,20.000,.000
2.000,.311,6.111,20.000,.000
2.000,.331,6.511,20.000,.000
2.000,.351,6.911,20.000,.000
2.000,.371,7.311,20.000,.000
2.000,.391,7.711,20.000,.000
2.000,.411,8.111,20.000,.000
2.000,.431,8.511,20.000,.000
2.000,.451,8.911,20.000,.000
2.000,.471,9.311,20.000,.000
2.000,.491,9.711,20.000,.000
2.000,.511,10.111,20.000,.000
2.000,.531,10.511,20.000,.000
2.000,.551,10.911,20.000,.000
2.000,.571,11.311,20.000,.000
2.000,.591,11.711,20.000,.000
2.000,.611,12.111,20.000,.000
2.000,.631,12.511,20.000,.000
2.000,.651,12.911,20.000,.000
2.000,.671,13.311,20.000,.000
2.000,.691,13.711,20.000,.000
2.000,.711,14.111,20.000,.000
2.000,.731,14.511,20.000,.000
2.000,.751,14.911,20.000,.000
2.000,.771,15.311,20.000,.000
2.000,.791,15.711,20.000,.000
2.000,.811,16.111,20.000,.000
2.000,.831,16.511,20.000,.000
2.000,.851,16.911,20.000,.000
2.000,.871,17.311,20.000,.000
2.000,.891,17.711,20.000,.000
2.000,.911,18.111,20.000,.000
2.000,.931,18.511,20.000,.000
2.000,.951,18.911,20.000,.000
2.000,.971,19.311,20.000,.000
2.000,.991,19.711,20.000,.000
2.000,1.011,20.111,20.000,.000
2.000,1.031,20.511,20.000,.000
2.000,1.051,20.911,20.000,.000
2.000,1.071,21.311,20.000,.000
2.000,1.091,21.711,20.000,.000
2.000,1.111,22.111,20.000,.000
2.000,1.131,22.511,20.000,.000
2.000,1.151,22.911,20.000,.000
2.000,1.171,23.311,20.000,.000
2.000,1.191,23.711,20.000,.000
2.000,1.211,24.111,20.000,.000
2.000,1.231,24.511,20.000,.000
2.000,1.251,24.911,20.000,.000
2.000,1.271,25.311,20.000,.000
2.000,1.291,25.711,20.000,.000
2.000,1.311,26.111,20.000,.000
2.000,1.331,26.511,20.000,.000
2.000,1.351,26.911,20.000,.000
2.000,1.371,27.311,20.000,.000
2.000,1.391,27.711,20.000,.000
